NAME,CO2,GNP,origin
BRA,2.438599117,15306,0
LBN,4.206961882,15055,0
BWA,2.435867056,14853,0
THA,4.357053716,14562,0
DZA,3.454345269,13494,0
LBY,9.038496098,13326,0
IRQ,4.827485754,13158,0
CRI,1.578961094,12916,0
SRB,4.993806539,12764,0
COL,1.879899621,12568,0
DOM,2.038439056,12251,0
ZAF,8.64127876,12171,0
BRB,5.060111359,11809,0
MNG,13.48480276,11545,0
MKD,3.777430592,11544,0
JOR,2.821582524,11488,0
CHN,7.084593036,11328,0
PER,1.831596767,11034,0
TUN,2.439090231,10898,0
EGY,2.32108677,10775,0
ECU,2.57012993,10760,0
UKR,6.562538172,10404,0
LCA,2.315290903,10037,0
LKA,0.7430762,9928,0
GEO,1.894340841,9829,0
IDN,1.928840482,9703,0
ALB,1.73347795,9660,0
ARM,1.91788874,9385,0
DMA,1.821878453,9145,0
BIH,6.047449442,9093,0
NAM,1.122871976,8793,0
AGO,1.245199296,8508,0
UZB,3.419579153,8482,0
PRY,0.823929208,8102,0
SLV,0.974855195,7845,0
SWZ,0.855875469,7805,0
MAR,1.739270865,7619,0
CUB,3.030886974,7379,0
JAM,2.818577849,7017,0
GTM,0.852562194,6829,0
PHL,0.971993643,6472,0
CPV,0.958081622,6234,0
COG,0.643562284,6031,0
BOL,1.785687848,5789,0
MDA,1.203192956,5421,0
NGA,0.557962542,5370,0
VNM,1.534889264,5200,0
IND,1.562597867,5172,0
PSE,0.551926724,5054,0
LAO,0.21580311,4961,0
PAK,0.883789575,4703,0
HND,1.024627145,4561,0
NIC,0.752809026,4527,0
KGZ,1.699293099,4509,0
MMR,0.247239379,4424,0
YEM,0.97670075,4165,0
SYR,1.807699583,4124,0
GHA,0.542055111,3683,0
TJK,0.42029099,3471,0
ZMB,0.247877823,3419,0
MRT,0.588665972,3319,0
STP,0.607254939,3314,0
BGD,0.429688135,3057,0
KEN,0.284884491,2854,0
CIV,0.433849069,2823,0
KHM,0.364501019,2782,0
DJI,0.660410789,2724,0
CMR,0.305462697,2612,0
LSO,1.149022769,2559,0
TZA,0.2154965,2372,0
NPL,0.224572964,2316,0
SEN,0.555932204,2185,0
AFG,0.315155446,2025,0
SLE,0.14926845,1965,0
BEN,0.565012399,1939,0
UGA,0.123695327,1889,0
TCD,0.051819356,1888,0
GMB,0.232531823,1767,0
PRK,1.407055704,1740,0
HTI,0.227238283,1722,0
COM,0.237184086,1619,0
ZWE,0.766298096,1604,0
RWA,0.071430098,1554,0
MLI,0.062260671,1443,0
BFA,0.17527443,1422,0
GIN,0.195587874,1421,0
GNB,0.152530932,1378,0
ETH,0.106232779,1365,0
MDG,0.134554938,1345,0
TGO,0.31749773,1292,0
MWI,0.071694155,1104,0
MOZ,0.146543149,1011,0
LBR,0.218242289,900,0
NER,0.105015121,880,0
COD,0.049611975,751,0
BDI,0.028981407,738,0
CAF,0.065957086,567,0
QAT,44.1888674,153922,0
NOR,8.890813532,81759,0
KWT,30.00696335,78801,0
ARE,19.54099853,68255,0
SGP,6.894992523,62783,0
CHE,5.260537425,58674,0
LUX,20.26360773,52562,0
USA,17.12774837,50394,0
SAU,19.36232487,49867,0
IRL,8.164557169,48333,0
AUS,17.84018714,46999,0
GNQ,4.921350327,46255,0
HKG,6.077047923,44904,0
OMN,16.8395268,44008,0
NLD,9.824754911,43957,0
DNK,7.108051117,43510,0
DEU,10.0559435,43320,0
CAN,16.15082562,42445,0
SWE,4.863643077,41650,0
AUT,7.943764984,41565,0
TWN,11.00435503,39207,0
BEL,9.148239976,37906,0
FIN,9.44246799,37704,0
ISL,10.71707434,36990,0
BHR,20.34139266,36949,0
FRA,5.878588439,36571,0
JPN,10.13874942,35580,0
GBR,7.590167302,35185,0
ITA,6.562283687,34068,0
KOR,11.68379896,32791,0
NZL,8.050880004,32674,0
ESP,5.960024668,30699,0
TTO,33.77375766,30157,0
LBY,8.455398928,29766,0
ISR,9.713398203,29517,0
CZE,10.47668339,26474,0
CYP,6.316770925,26011,0
SVN,7.668817583,25252,0
MLT,6.679167112,24301,0
PRT,4.713545942,24218,0
RUS,12.03522741,23931,0
EST,13.53883215,23026,0
SVK,6.665790387,22816,0
GRC,8.034429274,22693,0
POL,8.461340998,22188,0
SYC,4.764371241,22130,0
KAZ,13.82059719,22089,0
LTU,4.653475408,21303,0
HUN,4.742653863,20631,0
CHL,4.604567268,20531,0
MYS,7.401160207,20134,0
ARG,4.538229915,19599,0
HRV,4.478728403,19441,0
LVA,3.670127005,19405,0
VEN,6.614566283,18549,0
BLR,6.722611085,18251,0
TUR,4.749033074,18170,0
TKM,12.25035618,18135,0
PAN,2.611192689,18051,0
URY,2.529775417,17876,0
ROU,4.279402813,17174,0
GAB,2.890035872,16932,0
MUS,3.163028345,16893,0
IRN,7.85679811,16745,0
AZE,3.831329088,16359,0
LBN,4.549836122,16315,0
MEX,4.127000819,15639,0
MNE,3.726085832,15421,0
BGR,6.60286764,15204,0
BRA,2.293881321,14985,0
THA,4.328526052,14227,0
BWA,2.00334523,13743,0
DZA,3.41027719,13379,0
CRI,1.634463867,12792,0
IRQ,4.60977381,12652,0
SRB,4.881607023,12384,0
COL,1.692572343,12123,0
ZAF,8.813139537,11992,0
BRB,5.149040219,11860,0
DOM,2.13209281,11848,0
JOR,2.979402204,11523,0
MKD,4.319346434,11242,0
EGY,2.41413133,10767,0
TUN,2.41638732,10739,0
CHN,7.00546028,10680,0
PER,1.788443057,10533,0
MNG,9.306178679,10493,0
ECU,2.429399327,10398,0
UKR,6.697012905,10383,0
LCA,2.326216147,10067,0
LKA,0.772391358,9678,0
ALB,1.680147423,9592,0
GEO,2.007782492,9491,0
IDN,2.54394411,9285,0
ARM,1.994589722,9077,0
BIH,6.067703717,8873,0
DMA,1.881738937,8823,0
NAM,1.485962047,8483,0
AGO,1.322346884,8190,0
UZB,3.897046389,7928,0
SLV,1.045730153,7726,0
SWZ,0.965787985,7552,0
MAR,1.874473856,7365,0
PRY,0.814125373,7193,0
CUB,3.15642303,7138,0
JAM,2.611126353,7053,0
GTM,0.762655753,6714,0
CPV,0.983760037,6273,0
PHL,0.918036738,6144,0
COG,0.636856059,5949,0
BOL,1.805420873,5511,0
NGA,0.577216881,5223,0
PSE,0.511855757,5054,0
VNM,1.496655694,4984,0
IND,1.570590171,4932,0
MDA,1.16986474,4905,0
SYR,2.144395334,4829,0
LAO,0.23610549,4670,0
PAK,0.897792255,4569,0
HND,1.033092685,4518,0
NIC,0.773992877,4376,0
MMR,0.214767262,4124,0
KGZ,1.787563953,4104,0
YEM,0.732166755,4077,0
GHA,0.447664794,3508,0
ZMB,0.236780739,3350,0
TJK,0.363510908,3285,0
STP,0.621054301,3217,0
MRT,0.6083965,3213,0
BGD,0.421266087,2914,0
KEN,0.274182827,2765,0
DJI,0.586283244,2654,0
CIV,0.389517841,2636,0
KHM,0.360937264,2634,0
CMR,0.283412972,2541,0
LSO,1.150079811,2456,0
TZA,0.188213486,2275,0
NPL,0.199700989,2258,0
SEN,0.537297772,2163,0
AFG,0.349938802,1945,0
UGA,0.106334861,1877,0
BEN,0.545321597,1867,0
TCD,0.046885455,1793,0
PRK,1.940501839,1731,0
GMB,0.252111258,1725,0
HTI,0.221483575,1674,0
SLE,0.127257891,1665,0
ZWE,0.517618809,1604,0
RWA,0.067155027,1531,0
COM,0.197406157,1509,0
MLI,0.06203314,1448,0
GIN,0.225395149,1397,0
BFA,0.153901913,1388,0
GNB,0.154331226,1361,0
MDG,0.11982138,1351,0
ETH,0.08815631,1287,0
TGO,0.334219552,1263,0
MWI,0.066838709,1085,0
MOZ,0.116089083,967,0
CAF,0.065276803,916,0
NER,0.104696987,864,0
LBR,0.241876901,853,0
BDI,0.029357206,727,0
COD,0.03409991,710,0
QAT,40.8019313,155533,0
NOR,9.091802557,80623,0
KWT,28.40133735,77126,0
ARE,18.76106458,65307,0
SGP,8.729578748,61672,0
CHE,5.167404005,58686,0
LUX,21.25312259,54031,0
USA,17.90928137,49675,0
IRL,8.151991351,48980,0
SAU,17.62372185,48470,0
AUS,17.9826595,46132,0
NLD,10.10447988,44591,0
HKG,6.166963154,44532,0
OMN,16.45310466,44454,0
GNQ,6.157704493,43841,0
DNK,7.937766625,43575,0
DEU,10.0180706,43189,0
CAN,16.23619786,42197,0
SWE,5.173306056,42079,0
AUT,8.288037542,41446,0
TWN,11.51329763,38565,0
FIN,10.49203986,38432,0
BEL,9.45771878,38130,0
ISL,10.77987793,36740,0
FRA,5.885247303,36691,0
BHR,22.24792293,36372,0
ITA,6.918206103,35151,0
JPN,9.815919018,34979,0
GBR,7.362444853,34971,0
KOR,11.82911087,32225,0
NZL,7.769574535,32057,0
ESP,6.066936239,31600,0
TTO,35.06696014,29745,0
